Timestamp,From_Bank,From_Account,To_Bank,To_Account,Amount_Paid,Payment_Currency,Amount_Received,Receiving_Currency,Payment_Format,Transaction_Type,Is_Laundering,PEP_Flag,Sanctions_Flag
2024-04-01 00:41:12,Bank_05,ACC-1276,Bank_06,EXT-9002,755.98,CAD,755.98,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-01 00:54:37,Bank_04,ACC-1266,Bank_07,EXT-9009,362.13,CAD,362.13,CAD,Prepaid Card,Withdrawal,0,0,0
2024-04-01 02:00:00,Bank_05,ACC-1026,Bank_05,EXT-9030,9693.86,CAD,9693.86,CAD,Credit Card,Deposit,1,0,0
2024-04-01 02:05:11,Bank_06,ACC-1223,Bank_05,EXT-9020,293.93,CAD,293.93,CAD,Debit Card,Withdrawal,0,0,0
2024-04-01 02:17:51,Bank_02,ACC-1064,Bank_10,EXT-9001,1019.93,CAD,1019.93,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-01 02:49:02,Bank_04,ACC-1246,Bank_05,EXT-9037,422.46,CAD,422.46,CAD,Prepaid Card,Deposit,0,1,0
2024-04-01 04:07:35,Bank_03,ACC-1202,Bank_04,EXT-9020,174.63,CAD,174.63,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-01 05:15:59,Bank_02,ACC-1009,Bank_10,EXT-9039,256.23,CAD,256.23,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-01 05:16:13,Bank_08,ACC-1191,Bank_11,EXT-9013,193.28,CAD,193.28,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-01 06:13:38,Bank_09,ACC-1000,Bank_09,EXT-9018,111.97,CAD,111.97,CAD,Crypto,Withdrawal,0,0,0
2024-04-01 06:16:15,Bank_10,ACC-1153,Bank_12,EXT-9010,486.72,CAD,486.72,CAD,Credit Card,Deposit,0,0,0
2024-04-01 06:24:40,Bank_11,ACC-1204,Bank_09,EXT-9020,206.12,CAD,206.12,CAD,Credit Card,Withdrawal,0,0,0
2024-04-01 06:53:25,Bank_07,ACC-1119,Bank_04,EXT-9012,229.28,CAD,229.28,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-01 07:00:20,Bank_01,ACC-1272,Bank_08,EXT-9037,952.59,CAD,952.59,CAD,Prepaid Card,Withdrawal,0,0,0
2024-04-01 07:36:16,Bank_02,ACC-1103,Bank_06,EXT-9017,54.58,CAD,54.58,CAD,Crypto,Deposit,0,0,0
2024-04-01 07:37:58,Bank_02,ACC-1181,Bank_01,EXT-9003,179.17,CAD,179.17,CAD,Crypto,Deposit,0,0,0
2024-04-01 08:08:11,Bank_04,ACC-1149,Bank_01,EXT-9018,202.09,CAD,202.09,CAD,Prepaid Card,Withdrawal,0,0,0
2024-04-01 08:37:04,Bank_04,ACC-1146,Bank_01,EXT-9030,188.38,CAD,188.38,CAD,Prepaid Card,Deposit,0,0,0
2024-04-01 09:21:13,Bank_08,ACC-1212,Bank_03,EXT-9025,57.62,CAD,57.62,CAD,Crypto,Deposit,1,0,1
2024-04-01 09:26:44,Bank_12,ACC-1001,Bank_02,EXT-9018,136.27,CAD,136.27,CAD,Bank Transfer,Deposit,0,0,0
2024-04-01 09:40:11,Bank_08,ACC-1241,Bank_02,EXT-9003,262.41,CAD,262.41,CAD,Credit Card,Deposit,0,0,0
2024-04-01 09:43:00,Bank_04,ACC-1227,Bank_06,EXT-9004,150.78,CAD,150.78,CAD,Credit Card,Deposit,0,0,0
2024-04-01 10:00:00,Bank_07,ACC-1026,Bank_11,EXT-9026,9101.46,CAD,9101.46,CAD,Credit Card,Deposit,1,0,0
2024-04-01 11:19:00,Bank_11,ACC-1097,Bank_12,EXT-9020,168.21,CAD,168.21,CAD,Bank Transfer,Withdrawal,0,0,0
2024-04-01 11:50:12,Bank_03,ACC-1193,Bank_07,EXT-9031,1446.91,CAD,1446.91,CAD,Crypto,Deposit,0,0,0
2024-04-01 12:00:52,Bank_09,ACC-1150,Bank_02,EXT-9008,38.38,CAD,38.38,CAD,Debit Card,Deposit,0,0,0
2024-04-01 12:13:45,Bank_12,ACC-1036,Bank_03,EXT-9006,99.42,CAD,99.42,CAD,Debit Card,Deposit,0,0,0
2024-04-01 12:18:59,Bank_11,ACC-1016,Bank_03,EXT-9018,64.85,CAD,64.85,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-01 12:30:58,Bank_06,ACC-1100,Bank_06,EXT-9020,876.97,CAD,876.97,CAD,Prepaid Card,Deposit,0,0,0
2024-04-01 12:37:24,Bank_02,ACC-1060,Bank_11,EXT-9002,28.33,CAD,28.33,CAD,Interac e-Transfer,Withdrawal,0,0,0
2024-04-01 12:46:35,Bank_10,ACC-1238,Bank_09,EXT-9003,177.01,CAD,177.01,CAD,Prepaid Card,Deposit,0,0,0
2024-04-01 12:49:57,Bank_10,ACC-1011,Bank_02,EXT-9021,189.92,CAD,189.92,CAD,Interac e-Transfer,Deposit,0,0,0
2024-04-01 12:50:31,Bank_07,ACC-1009,Bank_02,EXT-9029,392.72,CAD,392.72,CAD,Debit Card,Deposit,0,0,0
2024-04-01 13:18:04,Bank_02,ACC-1197,Bank_07,EXT-9015,420.37,CAD,420.37,CAD,Debit Card,Deposit,0,0,0
2024-04-01 14:48:39,Bank_03,ACC-1193,Bank_02,EXT-9031,69.87,CAD,69.87,CAD,Credit Card,Deposit,0,0,0
2024-04-01 15:39:42,Bank_11,ACC-1294,Bank_08,EXT-9024,822.01,CAD,822.01,CAD,Debit Card,Deposit,0,0,0
2024-04-01 16:06:15,Bank_09,ACC-1039,Bank_10,EXT-9004,365.15,CAD,365.15,CAD,Bank Transfer,Deposit,0,0,0
2024-04-01 16:58:06,Bank_05,ACC-1271,Bank_10,EXT-9028,187.22,CAD,187.22,CAD,Crypto,Withdrawal,0,0,0
2024-04-01 18:28:47,Bank_01,ACC-1025,Bank_03,EXT-9024,316.79,CAD,316.79,CAD,Credit Card,Deposit,0,0,0
2024-04-01 19:00:00,Bank_12,ACC-1026,Bank_07,EXT-9030,9670.94,CAD,9670.94,CAD,Interac e-Transfer,Deposit,1,0,0
2024-04-01 19:01:58,Bank_06,ACC-1227,Bank_12,EXT-9031,846.07,CAD,846.07,CAD,Bank Transfer,Withdrawal,0,0,0
